GameId,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,Description,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,SitID,TeamID,PlayID
2023092402,4,7,18,ATL,DET,2,10,64,0,"(7:18) (NO HUDDLE, SHOTGUN) 9-D.RIDDER PASS SHORT RIGHT TO 81-J.SMITH TO DET 28 FOR 8 YARDS (23-J.JACOBS).",8,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,0,0,,2221064,22,201
2023092402,4,7,58,ATL,DET,2,9,54,1,"(7:58) (NO HUDDLE, SHOTGUN) 9-D.RIDDER PASS SHORT MIDDLE TO 85-M.PRUITT TO DET 36 FOR 10 YARDS (1-C.SUTTON).",10,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,0,0,,2220954,22,206
2023092402,4,8,19,ATL,DET,1,10,53,0,(8:19) (NO HUDDLE) 7-B.ROBINSON LEFT END TO DET 46 FOR 1 YARD (32-B.BRANCH).,1,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,0,0,0,0,LEFT END,2211053,22,104
2023092402,4,9,54,DET,ATL,3,3,97,1,"(9:54) (SHOTGUN) 16-J.GOFF LEFT END FOR 3 YARDS, TOUCHDOWN.",3,SHOTGUN,RUSH,1,0,0,1,,0,0,0,0,0,0,0,LEFT END,2530397,25,104
2023092402,4,10,35,DET,ATL,2,8,92,0,(10:35) 16-J.GOFF PASS SHORT LEFT TO 14-A.ST. BROWN TO ATL 3 FOR 5 YARDS (33-T.FLOWERS).,5,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,0,0,,2520892,25,205
2023092402,4,11,11,DET,ATL,1,8,92,0,"(11:11) 26-J.GIBBS RIGHT TACKLE TO ATL 8 FOR NO GAIN (48-B.DUPREE, 3-J.BATES).",0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,RIGHT TACKLE,2510892,25,107
2023092402,4,11,54,DET,ATL,1,10,71,1,(11:54) 26-J.GIBBS LEFT TACKLE TO ATL 8 FOR 21 YARDS (33-T.FLOWERS).,21,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,LEFT TACKLE,2511071,25,108
2023092402,4,12,38,DET,ATL,2,6,59,1,(12:38) 26-J.GIBBS LEFT TACKLE TO ATL 29 FOR 12 YARDS (20-D.ALFORD; 3-J.BATES).,12,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,LEFT TACKLE,2520659,25,108
2023092402,4,13,11,DET,ATL,1,10,55,0,(13:11) 26-J.GIBBS LEFT TACKLE TO ATL 41 FOR 4 YARDS (0-L.CARTER).,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,LEFT TACKLE,2511055,25,108
2023092402,4,14,18,ATL,DET,2,6,61,0,"(14:18) 25-T.ALLGEIER LEFT END TO DET 37 FOR 2 YARDS (23-J.JACOBS, 46-J.CAMPBELL).",2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,LEFT END,2220661,22,104
2023092402,4,15,0,ATL,DET,1,10,57,0,"(15:00) 25-T.ALLGEIER UP THE MIDDLE TO DET 39 FOR 4 YARDS (32-B.BRANCH, 55-D.BARNES).",4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,CENTER,2211057,22,103
2023092402,3,6,35,DET,ATL,2,10,55,0,"(6:35) (SHOTGUN) 16-J.GOFF PASS SHORT RIGHT TO 14-A.ST. BROWN TO ATL 38 FOR 7 YARDS (55-K.ELLISS). PENALTY ON DET-58-P.SEWELL, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT ATL 45 - NO PLAY.",7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,1,0,0,,2521055,25,201
2023092402,3,9,12,ATL,DET,3,6,71,0,(9:12) (SHOTGUN) 7-B.ROBINSON LEFT END TO DET 28 FOR 1 YARD (97-A.HUTCHINSON; 44-M.RODRIGUEZ).,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,0,0,LEFT END,2230671,22,104
2023092402,3,9,55,ATL,DET,2,13,64,0,(9:55) (SHOTGUN) 9-D.RIDDER PASS SHORT LEFT TO 8-K.PITTS TO DET 29 FOR 7 YARDS (34-A.ANZALONE).,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,0,0,,2221364,22,205
2023092402,3,10,36,ATL,DET,1,10,67,0,(10:36) (NO HUDDLE) 25-T.ALLGEIER LEFT END TO DET 36 FOR -3 YARDS (32-B.BRANCH).,-3,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,0,0,0,0,LEFT END,2211067,22,104
2023092402,3,11,10,ATL,DET,2,5,51,1,(11:10) 9-D.RIDDER PASS SHORT RIGHT TO 25-T.ALLGEIER TO DET 33 FOR 16 YARDS (21-T.WALKER).,16,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,0,0,,2220551,22,201
2023092100,4,13,30,SF,NYG,3,17,75,0,(13:30) (SHOTGUN) 13-B.PURDY PASS SHORT LEFT TO 85-G.KITTLE PUSHED OB AT NYG 18 FOR 7 YARDS (19-I.SIMMONS).,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,0,0,,1431775,14,205
2023092100,4,14,13,SF,NYG,2,12,80,0,(14:13) (SHOTGUN) 13-B.PURDY PASS SHORT LEFT TO 25-E.MITCHELL TO NYG 25 FOR -5 YARDS (30-D.HOLMES).,-5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,0,0,,1421280,14,205
